area,perimeter,height,width,r_value,g_value,b_value,index,label
168,75.65828204,269,366,202,183,140,12,2
222.5,0,269,366,217,164,90,12,2
203,185.2909925,269,366,225,166,109,12,2
217.5,277.9066353,269,366,218,157,106,12,2
216.5,219.3194208,269,366,223,165,115,12,2
232,311.5232869,269,366,212,162,98,13,2
191.5,301.3208477,269,366,233,137,73,11,2
190,7.919595814,269,366,219,166,57,11,2
225.5,3.414213538,269,366,215,160,69,11,2
230,6.145584369,269,366,211,159,89,13,2
208.5,0,269,366,188,154,35,10,2
232,1040.73412,269,366,219,161,69,12,2
246.5,227.5468372,269,366,209,158,84,12,2
228.5,183.0822498,269,366,199,125,66,13,2
224,17.65685415,269,366,210,159,117,12,2
250.5,19.31370831,269,366,225,159,116,13,2
204,10.59411249,269,366,223,163,120,13,2
